Date,Time,Focal_Depth,Primary_Magnitude,Country,Location_Name,Latitude,Longitude,Maximum_Water_Height,Total_Deaths,Total_Injuries,Total_Damage_Million_Dollars,Total_Houses_Destroyed,Total_Houses_Damaged
01-02-74,3:12:33,40,7.1,SOLOMON ISLANDS,SOLOMON ISLANDS,-7.4,155.6,4.5,,,,,
08-05-74,23:33:25,2,6.7,JAPAN,TOKAIDO,34.6,138.7,0.2,30,137,,134,
18-08-74,10:44:12,36,7.1,CHILE,SOUTHERN CHILE,-38.5,-73.4,,,,,,
27-09-74,5:47:29,43,6.7,RUSSIA,S. KURIL ISLANDS,43.2,146.7,0.37,,,,,
03-10-74,14:21:29,13,8.1,PERU,CENTRAL PERU,-12.27,-77.79,0.92,78,2414,10,,
17-10-74,19:05:00,,,CANADA,"KITIMAT INLET, BRITISH COLOMBIA",54,-128.7,2.8,,,,,
15-01-75,9:42:24,33,5.9,INDONESIA,BANDA SEA,-5,130,,,,,81,
13-03-75,15:26:42,4,6.9,CHILE,CENTRAL CHILE,-29.9,-71.3,,2,25,,,
10-06-75,13:47:14,15,7,RUSSIA,S. KURIL ISLANDS,43.024,147.734,5.5,,,,,
20-07-75,14:37:39,49,7.9,PAPUA NEW GUINEA,SOLOMON SEA,-6.59,155.054,2,,,,,
31-10-75,8:28:02,50,7.6,PHILIPPINES,PHILIPPINE TRENCH,12.54,125.993,3,1,,,30,
29-11-75,14:47:40,2,7.7,USA,HAWAII,19.451,-155.033,14.3,2,19,4,,
26-12-75,15:56:38,33,7.8,SAMOA,SAMOA ISLANDS,-16.265,-172.467,0.38,,,,,
26-05-75,9:11:51,33,7.7,ATLANTIC OCEAN,AZORES GIBRALTAR FRACTURE ZONE,35.997,-17.649,0.76,,,,,
27-04-75,18:05:00,,,CANADA,"KITIMAT INLET, BRITISH COLUMBIA",53.98,-128.68,4.1,,,,,
16-12-75,21:01:39,33,4.9,FIJI,FIJI ISLANDS,-18.672,178.464,0.25,,,,,
14-01-76,16:47:33,33,8,NEW ZEALAND,KERMADEC ISLANDS,-28.427,-177.657,0.9,,,,,
21-01-76,10:05:24,41,7,RUSSIA,S. KURIL ISLANDS,44.915,149.123,0.38,,,,,
11-07-76,16:54:31,22,6.7,PANAMA,PANAMA,7.4,-78.1,,5,7,,,
02-04-77,7:15:22,33,7.6,SAMOA,SAMOA ISLANDS,-16.696,-172.095,0.08,,,,,
20-04-77,23:13:10,33,6.8,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.828,163.323,0.15,34,,,,
21-04-77,4:24:09,33,8.1,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.965,160.731,0.04,18,1,,,
22-06-77,12:08:33,65,7.2,TONGA,TONGA TRENCH,-22.878,-175.9,0.4,,,,,
19-08-77,6:08:55,33,8,INDONESIA,SUNDA ISLANDS,-11.085,118.464,15,189,75,1.2,,
